Time:          Temperature (C):        Altitude (m):        Pressure (psi):
------------------------------------------------
2009:16:22:36:42:444   0.02704     223.68605     11.72021
2009:16:22:36:42:741   0.03955     373.63637     20.19786
2009:16:22:36:42:991   0.10601     556.6137     36.62185
2009:16:22:36:43:241   0.11984     920.52116     54.42347
2009:16:22:36:43:491   0.21281     1307.02359     70.55841
2009:16:22:36:43:741   0.27231     1414.23988     71.79073
2009:16:22:36:43:991   0.3239     1779.63241     71.90734
2009:16:22:36:44:241   0.3473     1920.01274     91.05775
2009:16:22:36:44:491   0.34873     2334.63119     93.88544
2009:16:22:36:44:741   0.45092     2926.51756     113.78075
2009:16:22:36:44:991   0.50815     3927.17168     115.87503
2009:16:22:36:45:241   0.51985     4256.32696     116.435
2009:16:22:36:45:491   0.85084     4377.34031     127.72476
2009:16:22:36:45:741   0.85783     4424.66907     137.37135
2009:16:22:36:45:991   0.87164     4573.19345     139.49912
2009:16:22:36:46:241   0.92771     4653.26293     143.30467
2009:16:22:36:46:491   1.03472     4722.12496     152.05508
2009:16:22:36:46:741   1.05741     4805.07873     152.62436
2009:16:22:36:46:991   1.17947     4812.49446     166.05854
2009:16:22:36:47:241   1.4865     4950.83668     173.28048
2009:16:22:36:47:491   1.68432     5181.40859     176.4004
2009:16:22:36:47:757   1.94121     5285.9659     179.59432
2009:16:22:36:48:007   2.03573     5486.30009     195.19854
2009:16:22:36:48:257   2.05253     6329.33468     230.83471
2009:16:22:36:48:507   2.11176     6677.63191     251.3167
2009:16:22:36:48:757   2.20398     6827.06631     272.1026
2009:16:22:36:49:007   2.24956     7285.70345     282.72511
2009:16:22:36:49:257   2.54991     7339.59028     290.36568
2009:16:22:36:49:507   2.61035     7349.28264     290.49688
2009:16:22:36:49:757   2.79632     7360.78679     291.21151
2009:16:22:36:50:007   2.85599     7438.70509     306.04803
2009:16:22:36:50:257   2.89977     8103.97058     311.8673
2009:16:22:36:50:507   2.93342     8379.38496     322.81581
2009:16:22:36:50:757   3.04624     8633.37242     324.15724
2009:16:22:36:51:007   3.09256     8899.57982     327.00524
2009:16:22:36:51:257   3.43169     8923.86383     328.83555
2009:16:22:36:51:507   3.43726     9294.0174     331.36795
2009:16:22:36:51:757   3.53814     9886.29314     331.89775
2009:16:22:36:52:007   3.62159     10197.87442     334.02484
2009:16:22:36:52:257   3.66887     11140.11783     340.16761
2009:16:22:36:52:507   3.68156     11186.23419     350.77739
2009:16:22:36:52:757   3.85511     11998.61391     375.95749
2009:16:22:36:53:007   3.98588     12718.51881     406.53668
2009:16:22:36:53:257   3.9962     12901.40191     425.03234
2009:16:22:36:53:507   4.09565     13885.51203     425.48058
2009:16:22:36:53:757   4.18882     14320.13372     455.95456
2009:16:22:36:54:007   4.38133     14340.12534     459.69235
2009:16:22:36:54:257   4.49955     14402.04964     505.56804
2009:16:22:36:54:507   4.66307     14537.54963     530.98289
2009:16:22:36:54:757   5.01794     14697.24204     575.46085
2009:16:22:36:55:007   5.02146     14770.22461     586.25371
2009:16:22:36:55:257   5.07799     15311.98916     589.28091
2009:16:22:36:55:507   5.09415     15506.36685     593.46417
2009:16:22:36:55:757   5.15429     15741.70801     602.50219
2009:16:22:36:56:023   5.3169     15788.45592     656.44588
2009:16:22:36:56:273   5.4054     16067.29208     657.12405
2009:16:22:36:56:523   5.5455     16177.24142     657.89427
2009:16:22:36:56:773   5.64668     16386.91168     658.91289
2009:16:22:36:57:023   5.96924     16867.82181     663.38054
2009:16:22:36:57:273   6.12424     17272.39811     674.52464
2009:16:22:36:57:523   6.48899     18008.80883     685.52763
2009:16:22:36:57:773   6.60678     18064.59952     687.86201
2009:16:22:36:58:023   6.62108     18294.18276     688.11429
2009:16:22:36:58:273   6.65649     18963.6935     689.78172
2009:16:22:36:58:523   6.98873     19380.16366     691.91075
2009:16:22:36:58:773   6.9923     20930.43282     704.40473
2009:16:22:36:59:023   6.99345     21348.12389     715.00497
2009:16:22:36:59:273   7.03317     21553.15548     737.32089
2009:16:22:36:59:523   7.18479     22185.38602     759.70697
2009:16:22:36:59:773   7.3026     22313.3816     767.50966
2009:16:22:37:00:023   7.4371     22727.74326     769.42364
2009:16:22:37:00:273   7.50096     22861.22792     777.42673
2009:16:22:37:00:523   7.52957     23252.60943     791.84497
2009:16:22:37:00:773   7.53459     23287.5636     792.24452
2009:16:22:37:01:023   7.7031     23332.10253     807.59583
2009:16:22:37:01:273   7.7076     23472.63897     808.17969
2009:16:22:37:01:523   7.75348     23587.40162     811.2222
2009:16:22:37:01:773   7.78377     23687.40949     819.08659
2009:16:22:37:02:023   8.08191     23830.10029     832.63677
2009:16:22:37:02:273   8.08559     23981.52792     841.46987
2009:16:22:37:02:523   8.11599     24045.17108     841.51163
2009:16:22:37:02:773   8.13783     24251.05881     845.9333
