Time:                          Pressure (psi):
------------------------------------------------
2009:16:22:36:42:444     11.72021
2009:16:22:36:42:741     20.19786
2009:16:22:36:42:991     36.62185
2009:16:22:36:44:241     91.05775
2009:16:22:36:44:491     93.88544
2009:16:22:36:44:741     113.78075
2009:16:22:36:44:991     115.87503
2009:16:22:36:45:241     116.43500
2009:16:22:36:45:491     127.72476
2009:16:22:36:45:741     137.37135
2009:16:22:36:45:991     139.49912
2009:16:22:36:46:241     143.30467
2009:16:22:36:46:491     152.05508
2009:16:22:36:46:741     152.62436
2009:16:22:36:46:991     166.05854
2009:16:22:36:47:241     173.28048
2009:16:22:36:47:491     176.40040
2009:16:22:36:47:757     179.59432
2009:16:22:36:48:007     195.19854
2009:16:22:36:48:257     230.83471
2009:16:22:36:48:507     251.31670
2009:16:22:36:48:757     272.10260
2009:16:22:36:49:007     282.72511
2009:16:22:36:49:257     290.36568
2009:16:22:36:49:507     290.49688
2009:16:22:36:49:757     291.21151
2009:16:22:36:50:007     306.04803
2009:16:22:36:50:257     311.86730
2009:16:22:36:50:507     322.81581
2009:16:22:36:50:757     324.15724
2009:16:22:36:51:007     327.00524
2009:16:22:36:51:257     328.83555
2009:16:22:36:51:507     331.36795
2009:16:22:36:51:757     331.89775
2009:16:22:36:52:007     334.02484
2009:16:22:36:52:257     340.16761
2009:16:22:36:52:507     350.77739
2009:16:22:36:52:757     375.95749
2009:16:22:36:53:007     406.53668
2009:16:22:36:53:257     425.03234
2009:16:22:36:53:507     425.48058
2009:16:22:36:53:757     455.95456
2009:16:22:36:54:007     459.69235
2009:16:22:36:54:257     505.56804
2009:16:22:36:54:507     530.98289
2009:16:22:36:54:757     575.46085
2009:16:22:36:55:007     586.25371
2009:16:22:36:55:257     589.28091
2009:16:22:36:55:507     593.46417
2009:16:22:36:55:757     602.50219
2009:16:22:36:56:023     656.44588
2009:16:22:36:56:273     657.12405
2009:16:22:36:56:523     657.89427
2009:16:22:36:56:773     658.91289
2009:16:22:36:57:023     663.38054
2009:16:22:36:57:273     674.52464
2009:16:22:36:57:523     685.52763
2009:16:22:36:57:773     687.86201
2009:16:22:36:58:023     688.11429
2009:16:22:36:58:273     689.78172
2009:16:22:36:58:523     691.91075
2009:16:22:36:58:773     704.40473
2009:16:22:36:59:023     715.00497
2009:16:22:36:59:273     737.32089
2009:16:22:36:59:523     759.70697
2009:16:22:36:59:773     767.50966
2009:16:22:37:00:023     769.42364
2009:16:22:37:00:273     777.42673
2009:16:22:37:00:523     791.84497
2009:16:22:37:00:773     792.24452
2009:16:22:37:01:023     807.59583
2009:16:22:37:01:273     808.17969
2009:16:22:37:01:523     811.22220
2009:16:22:37:01:773     819.08659
2009:16:22:37:02:023     832.63677
2009:16:22:37:02:273     841.46987
2009:16:22:37:02:523     841.51163
2009:16:22:37:02:773     845.93330
2009:16:22:37:03:023     863.18626
2009:16:22:37:03:273     874.41917
2009:16:22:37:03:523     883.20869
2009:16:22:37:03:773     885.88121
2009:16:22:37:04:023     895.34613
2009:16:22:37:04:273     903.46562
2009:16:22:37:04:538     906.82050
2009:16:22:37:04:788     907.53710
2009:16:22:37:05:038     926.57710
2009:16:22:37:05:288     929.80104
2009:16:22:37:05:538     937.05514
2009:16:22:37:05:788     940.50012
2009:16:22:37:06:038     960.04148
2009:16:22:37:06:288     962.83693
2009:16:22:37:06:538     966.26248
2009:16:22:37:06:788     985.06502
2009:16:22:37:07:038     986.60967
2009:16:22:37:07:288     991.55625
