Time:                          Attitude(psi):
------------------------------------------------
2009:20:20:45:40:160     0.97365
2009:20:20:45:40:410     1.24283
2009:20:20:45:40:660     1.57482
2009:20:20:45:40:910     2.64944
2009:20:20:45:41:129     0.22358
2009:20:20:45:41:160     3.44188
2009:20:20:45:41:379     0.43482
2009:20:20:45:41:410     3.99891
2009:20:20:45:41:629     0.68830
2009:20:20:45:41:660     4.03621
2009:20:20:45:41:879     2.03967
2009:20:20:45:41:910     4.23527
2009:20:20:45:42:129     2.13470
2009:20:20:45:42:160     5.43833
2009:20:20:45:42:379     2.33457
2009:20:20:45:42:410     5.70597
2009:20:20:45:42:629     2.69602
2009:20:20:45:42:660     6.05868
2009:20:20:45:42:879     2.81960
2009:20:20:45:42:910     6.45745
2009:20:20:45:43:129     3.22959
2009:20:20:45:43:160     6.72843
2009:20:20:45:43:379     4.60125
2009:20:20:45:43:410     7.21851
2009:20:20:45:43:629     5.32902
2009:20:20:45:43:660     7.44704
2009:20:20:45:43:879     5.34482
2009:20:20:45:43:910     8.43851
2009:20:20:45:44:129     5.44062
2009:20:20:45:44:160     8.75577
2009:20:20:45:44:379     5.98763
2009:20:20:45:44:410     9.56255
2009:20:20:45:44:629     6.40897
2009:20:20:45:44:660     9.59910
2009:20:20:45:44:879     6.75670
2009:20:20:45:44:910     9.87173
2009:20:20:45:45:129     7.77981
2009:20:20:45:45:160     9.90657
2009:20:20:45:45:379     8.57331
2009:20:20:45:45:629     8.70786
2009:20:20:45:45:879     8.93456
2009:20:20:45:46:129     9.22267
2009:20:20:45:46:379     9.51834
