Time:          Temperature (C):        Altitude (m):
------------------------------------------------
2009:16:22:36:42:444   0.02704     223.68605
2009:16:22:36:42:741   0.03955     373.63637
2009:16:22:36:42:991   0.10601     556.6137
2009:16:22:36:43:241   0.11984     920.52116
2009:16:22:36:43:491   0.21281     1307.02359
2009:16:22:36:43:741   0.27231     1414.23988
2009:16:22:36:43:991   0.3239     1779.63241
2009:16:22:36:44:241   0.3473     1920.01274
2009:16:22:36:44:491   0.34873     2334.63119
2009:16:22:36:44:741   0.45092     2926.51756
2009:16:22:36:44:991   0.50815     3927.17168
2009:16:22:36:45:241   0.51985     4256.32696
2009:16:22:36:45:491   0.85084     4377.34031
2009:16:22:36:45:741   0.85783     4424.66907
2009:16:22:36:45:991   0.87164     4573.19345
2009:16:22:36:46:241   0.92771     4653.26293
2009:16:22:36:46:491   1.03472     4722.12496
2009:16:22:36:46:741   1.05741     4805.07873
2009:16:22:36:46:991   1.17947     4812.49446
2009:16:22:36:47:241   1.4865     4950.83668
2009:16:22:36:47:491   1.68432     5181.40859
2009:16:22:36:47:757   1.94121     5285.9659
2009:16:22:36:48:007   2.03573     5486.30009
2009:16:22:36:48:257   2.05253     6329.33468
2009:16:22:36:48:507   2.11176     6677.63191
2009:16:22:36:48:757   2.20398     6827.06631
2009:16:22:36:49:007   2.24956     7285.70345
2009:16:22:36:49:257   2.54991     7339.59028
2009:16:22:36:49:507   2.61035     7349.28264
2009:16:22:36:49:757   2.79632     7360.78679
2009:16:22:36:50:007   2.85599     7438.70509
2009:16:22:36:50:257   2.89977     8103.97058
2009:16:22:36:50:507   2.93342     8379.38496
2009:16:22:36:50:757   3.04624     8633.37242
2009:16:22:36:51:007   3.09256     8899.57982
2009:16:22:36:51:257   3.43169     8923.86383
2009:16:22:36:51:507   3.43726     9294.0174
2009:16:22:36:51:757   3.53814     9886.29314
2009:16:22:36:52:007   3.62159     10197.87442
2009:16:22:36:52:257   3.66887     11140.11783
2009:16:22:36:52:507   3.68156     11186.23419
2009:16:22:36:52:757   3.85511     11998.61391
2009:16:22:36:53:007   3.98588     12718.51881
2009:16:22:36:53:257   3.9962     12901.40191
2009:16:22:36:53:507   4.09565     13885.51203
2009:16:22:36:53:757   4.18882     14320.13372
2009:16:22:36:54:007   4.38133     14340.12534
2009:16:22:36:54:257   4.49955     14402.04964
2009:16:22:36:54:507   4.66307     14537.54963
2009:16:22:36:54:757   5.01794     14697.24204
2009:16:22:36:55:007   5.02146     14770.22461
2009:16:22:36:55:257   5.07799     15311.98916
2009:16:22:36:55:507   5.09415     15506.36685
2009:16:22:36:55:757   5.15429     15741.70801
2009:16:22:36:56:023   5.3169     15788.45592
2009:16:22:36:56:273   5.4054     16067.29208
2009:16:22:36:56:523   5.5455     16177.24142
2009:16:22:36:56:773   5.64668     16386.91168
2009:16:22:36:57:023   5.96924     16867.82181
2009:16:22:36:57:273   6.12424     17272.39811
2009:16:22:36:57:523   6.48899     18008.80883
2009:16:22:36:57:773   6.60678     18064.59952
2009:16:22:36:58:023   6.62108     18294.18276
2009:16:22:36:58:273   6.65649     18963.6935
2009:16:22:36:58:523   6.98873     19380.16366
2009:16:22:36:58:773   6.9923     20930.43282
2009:16:22:36:59:023   6.99345     21348.12389
2009:16:22:36:59:273   7.03317     21553.15548
2009:16:22:36:59:523   7.18479     22185.38602
2009:16:22:36:59:773   7.3026     22313.3816
2009:16:22:37:00:023   7.4371     22727.74326
2009:16:22:37:00:273   7.50096     22861.22792
2009:16:22:37:00:523   7.52957     23252.60943
2009:16:22:37:00:773   7.53459     23287.5636
2009:16:22:37:01:023   7.7031     23332.10253
2009:16:22:37:01:273   7.7076     23472.63897
2009:16:22:37:01:523   7.75348     23587.40162
2009:16:22:37:01:773   7.78377     23687.40949
2009:16:22:37:02:023   8.08191     23830.10029
2009:16:22:37:02:273   8.08559     23981.52792
2009:16:22:37:02:523   8.11599     24045.17108
2009:16:22:37:02:773   8.13783     24251.05881
2009:16:22:37:03:023   8.24935     24990.0397
2009:16:22:37:03:273   8.26595     26689.45257
2009:16:22:37:03:523   8.46146     27214.70303
2009:16:22:37:03:773   8.59158     27255.07424
2009:16:22:37:04:023   8.73128     27516.21327
2009:16:22:37:04:273   8.74392     27799.83964
2009:16:22:37:04:538   9.10944     28217.85283
2009:16:22:37:04:788   9.19597     28254.27975
2009:16:22:37:05:038   9.23167     28364.86611
2009:16:22:37:05:288   9.39159     28505.7584
2009:16:22:37:05:538   9.5238     28656.04976
2009:16:22:37:05:788   9.5795     29108.58766
2009:16:22:37:06:038   10.2399     29289.85909
2009:16:22:37:06:288   10.26108     29374.87264
2009:16:22:37:06:538   10.40673     29827.81608
2009:16:22:37:06:788   10.50243     30018.61544
2009:16:22:37:07:038   10.71662     30175.10522
2009:16:22:37:07:288   10.95726     30315.23623
