Time:          Temperature (C):        Altitude (m):        Pressure (psi):
---------------------------------------------------------------------------
2009:16:22:36:42:444   0.02704     223.68605     54.42347*
2009:16:22:36:42:741   0.03955     373.63637     54.42347*
2009:16:22:36:42:991   0.10601     556.61370     54.42347*
2009:16:22:36:43:241   0.11984     920.52116     54.42347
2009:16:22:36:43:491   0.21281     1307.02359     70.55841
2009:16:22:36:43:741   0.27231     1414.23988     71.79073
2009:16:22:36:43:991   0.32390     1779.63241     71.90734
2009:16:22:36:44:241   0.34730     1920.01274     71.90734*
2009:16:22:36:44:491   0.34873     2334.63119     71.90734*
2009:16:22:36:44:741   0.45092     2926.51756     71.90734*
2009:16:22:36:44:991   0.50815     3927.17168     71.90734*
2009:16:22:36:45:241   0.51985     4256.32696     71.90734*
2009:16:22:36:45:491   0.85084     4377.34031     71.90734*
2009:16:22:36:45:741   0.85783     4424.66907     71.90734*
2009:16:22:36:45:991   0.87164     4573.19345     71.90734*
2009:16:22:36:46:241   0.92771     4653.26293     71.90734*
2009:16:22:36:46:491   1.03472     4722.12496     71.90734*
2009:16:22:36:46:741   1.05741     4805.07873     71.90734*
2009:16:22:36:46:991   1.17947     4812.49446     71.90734*
2009:16:22:36:47:241   1.48650     4950.83668     71.90734*
2009:16:22:36:47:491   1.68432     5181.40859     71.90734*
2009:16:22:36:47:757   1.94121     5285.96590     71.90734*
2009:16:22:36:48:007   2.03573     5486.30009     71.90734*
2009:16:22:36:48:257   2.05253     6329.33468     71.90734*
2009:16:22:36:48:507   2.11176     6677.63191     71.90734*
2009:16:22:36:48:757   2.20398     6827.06631     71.90734*
2009:16:22:36:49:007   2.24956     7285.70345     71.90734*
2009:16:22:36:49:257   2.54991     7339.59028     71.90734*
2009:16:22:36:49:507   2.61035     7349.28264     71.90734*
2009:16:22:36:49:757   2.79632     7360.78679     71.90734*
2009:16:22:36:50:007   2.85599     7438.70509     71.90734*
2009:16:22:36:50:257   2.89977     8103.97058     71.90734*
2009:16:22:36:50:507   2.93342     8379.38496     71.90734*
2009:16:22:36:50:757   3.04624     8633.37242     71.90734*
2009:16:22:36:51:007   3.09256     8899.57982     71.90734*
2009:16:22:36:51:257   3.43169     8923.86383     71.90734*
2009:16:22:36:51:507   3.43726     9294.01740     71.90734*
2009:16:22:36:51:757   3.53814     9886.29314     71.90734*
2009:16:22:36:52:007   3.62159     10197.87442     71.90734*
2009:16:22:36:52:257   3.66887     11140.11783     71.90734*
2009:16:22:36:52:507   3.68156     11186.23419     71.90734*
2009:16:22:36:52:757   3.85511     11998.61391     71.90734*
2009:16:22:36:53:007   3.98588     12718.51881     71.90734*
2009:16:22:36:53:257   3.99620     12901.40191     71.90734*
2009:16:22:36:53:507   4.09565     13885.51203     71.90734*
2009:16:22:36:53:757   4.18882     14320.13372     71.90734*
2009:16:22:36:54:007   4.38133     14340.12534     71.90734*
2009:16:22:36:54:257   4.49955     14402.04964     71.90734*
2009:16:22:36:54:507   4.66307     14537.54963     71.90734*
2009:16:22:36:54:757   5.01794     14697.24204     71.90734*
2009:16:22:36:55:007   5.02146     14770.22461     71.90734*
2009:16:22:36:55:257   5.07799     15311.98916     71.90734*
2009:16:22:36:55:507   5.09415     15506.36685     71.90734*
2009:16:22:36:55:757   5.15429     15741.70801     71.90734*
2009:16:22:36:56:023   5.31690     15788.45592     71.90734*
2009:16:22:36:56:273   5.40540     16067.29208     71.90734*
2009:16:22:36:56:523   5.54550     16177.24142     71.90734*
2009:16:22:36:56:773   5.64668     16386.91168     71.90734*
2009:16:22:36:57:023   5.96924     16867.82181     71.90734*
2009:16:22:36:57:273   6.12424     17272.39811     71.90734*
2009:16:22:36:57:523   6.48899     18008.80883     71.90734*
2009:16:22:36:57:773   6.60678     18064.59952     71.90734*
2009:16:22:36:58:023   6.62108     18294.18276     71.90734*
2009:16:22:36:58:273   6.65649     18963.69350     71.90734*
2009:16:22:36:58:523   6.98873     19380.16366     71.90734*
2009:16:22:36:58:773   6.99230     20930.43282     71.90734*
2009:16:22:36:59:023   6.99345     21348.12389     71.90734*
2009:16:22:36:59:273   7.03317     21553.15548     71.90734*
2009:16:22:36:59:523   7.18479     22185.38602     71.90734*
2009:16:22:36:59:773   7.30260     22313.38160     71.90734*
2009:16:22:37:00:023   7.43710     22727.74326     71.90734*
2009:16:22:37:00:273   7.50096     22861.22792     71.90734*
2009:16:22:37:00:523   7.52957     23252.60943     71.90734*
2009:16:22:37:00:773   7.53459     23287.56360     71.90734*
2009:16:22:37:01:023   7.70310     23332.10253     71.90734*
2009:16:22:37:01:273   7.70760     23472.63897     71.90734*
2009:16:22:37:01:523   7.75348     23587.40162     71.90734*
2009:16:22:37:01:773   7.78377     23687.40949     71.90734*
2009:16:22:37:02:023   8.08191     23830.10029     71.90734*
2009:16:22:37:02:273   8.08559     23981.52792     71.90734*
2009:16:22:37:02:523   8.11599     24045.17108     71.90734*
2009:16:22:37:02:773   8.13783     24251.05881     71.90734*
2009:16:22:37:03:023   8.24935     24990.03970     71.90734*
2009:16:22:37:03:273   8.26595     26689.45257     71.90734*
2009:16:22:37:03:523   8.46146     27214.70303     71.90734*
2009:16:22:37:03:773   8.59158     27255.07424     71.90734*
2009:16:22:37:04:023   8.73128     27516.21327     71.90734*
2009:16:22:37:04:273   8.74392     27799.83964     71.90734*
2009:16:22:37:04:538   9.10944     28217.85283     71.90734*
2009:16:22:37:04:788   9.19597     28254.27975     71.90734*
2009:16:22:37:05:038   9.23167     28364.86611     71.90734*
2009:16:22:37:05:288   9.39159     28505.75840     71.90734*
2009:16:22:37:05:538   9.52380     28656.04976     71.90734*
2009:16:22:37:05:788   9.57950     29108.58766     71.90734*
2009:16:22:37:06:038   10.23990     29289.85909     71.90734*
2009:16:22:37:06:288   10.26108     29374.87264     71.90734*
2009:16:22:37:06:538   10.40673     29827.81608     71.90734*
2009:16:22:37:06:788   10.50243     30018.61544     71.90734*
2009:16:22:37:07:038   10.71662     30175.10522     71.90734*
2009:16:22:37:07:288   10.95726     30315.23623     71.90734*
