Time:        Velocity(k/h):       Altitude (m):        Pressure (psi):       Temperature (C):        Attitude(PSI):
-------------------------------------------------------------------------------------------------------------------
2009:20:20:45:40:160   1.11901   54.55060   52.16713*   -160.61883   10.37623*
2009:20:20:45:40:410   4.65220   128.47394   52.16713*   -158.40229   10.37623*
2009:20:20:45:40:660   18.96082   3749.72822   52.16713*   -149.08672   10.37623*
2009:20:20:45:40:910   45.77298   4046.47243   52.16713   -145.64642   10.37623*
2009:20:20:45:41:129   4.22295   2073.99378   52.27327*   -172.22203   10.37623*
2009:20:20:45:41:160   100.66233   4870.07183   52.37941   -132.78588   10.37623*
2009:20:20:45:41:379   22.85461   3137.64158   52.47896*   -171.63679   10.37623*
2009:20:20:45:41:410   124.00145   5125.05680   52.57851   -130.43103   10.37623*
2009:20:20:45:41:629   52.05128   12677.22806   52.96179   -169.98162   10.37623*
2009:20:20:45:41:660   143.80227   5261.90370   53.13532*   -123.76936   10.37623*
2009:20:20:45:41:879   116.61044   13020.50248   53.13532*   -168.66116   10.37623*
2009:20:20:45:41:910   189.07175   5459.77949   53.13532*   -122.65869   10.37623*
2009:20:20:45:42:129   130.07751   14156.23806   53.30885   -160.44902   10.37623*
2009:20:20:45:42:160   206.60633   9974.14975   54.69433*   -106.35728   10.37623*
2009:20:20:45:42:379   144.07190   19827.38123   54.69433*   -160.25928   10.37623*
2009:20:20:45:42:410   215.42672   10143.50444   56.07981   -101.96995   10.37623*
2009:20:20:45:42:629   174.15901   20027.83554   54.16294   -151.49951   10.37623*
2009:20:20:45:42:660   221.04220   10151.13925   56.10541   -97.41996   10.37623*
2009:20:20:45:42:879   182.43774   22318.35619   56.12243*   -147.66248   10.37623*
2009:20:20:45:42:910   224.18686   15266.07654   56.13946   -95.65905   10.37623*
2009:20:20:45:43:129   194.36360   27950.98022   56.21901*   -144.41899   10.37623*
2009:20:20:45:43:160   242.49085   15521.86320   56.29856   -79.74885   10.37623*
2009:20:20:45:43:379   212.12245   31559.33027   56.53767*   -143.12357   10.37623*
2009:20:20:45:43:410   304.44129   18484.51848   56.77677   -70.15093   10.37623*
2009:20:20:45:43:629   232.15363   33130.63629   56.26569   -141.49113   10.37623*
2009:20:20:45:43:660   311.26474   22638.77946   56.94927   -62.15323   10.37623*
2009:20:20:45:43:879   234.11388   33251.08443   56.34602   -141.06335   10.37623*
2009:20:20:45:43:910   311.72363   25684.07776   56.97244   -54.71926   10.37623*
2009:20:20:45:44:129   252.03490   40161.45847   56.63028   -140.73643   10.37623*
2009:20:20:45:44:160   361.79438   26846.38440   56.99460   -53.57292   10.37623*
2009:20:20:45:44:379   258.63894   43908.52239   56.73996   -139.91838   10.37623*
2009:20:20:45:44:410   364.48254   26969.57102   58.51654   -52.42027   10.37623*
2009:20:20:45:44:629   320.60821   45176.36368   59.37458   -130.49729   10.37623*
2009:20:20:45:44:660   411.11962   29585.40323   58.79048   -45.39895   10.37623*
2009:20:20:45:44:879   356.09949   45760.19097   60.85111   -126.54388   10.37623*
2009:20:20:45:44:910   440.54971   29710.04459   58.92965   -37.39728   10.37623*
2009:20:20:45:45:129   391.97626   47068.03580   62.19545   -123.19309   10.37623*
2009:20:20:45:45:160   448.48449   30682.78907   59.53525   -33.89788   10.37623*
2009:20:20:45:45:379   394.60023   48961.57863   62.97866   -122.56302   10.37623*
2009:20:20:45:45:410   473.85840   31048.34572   59.89045   -32.31719   10.37623
2009:20:20:45:45:629   419.77399   49817.33860   63.49149   -116.11508   10.52386*
2009:20:20:45:45:660   481.59226   32047.64471   60.73088   -24.75952   10.67149
2009:20:20:45:45:879   458.25543   52310.07115   64.79866   -109.33271   10.86997*
2009:20:20:45:45:910   484.32053   32815.95047   60.78193   -18.32103   11.06845
2009:20:20:45:46:129   468.91165   53037.61001   65.70431   -104.38498   11.17147*
2009:20:20:45:46:160   487.71023   35239.18632   60.96974   -14.07572   11.27448
2009:20:20:45:46:379   487.27214   56093.42031   66.13111   -103.36198   11.33585*
2009:20:20:45:46:410   487.79995   36030.28676   61.90040   -12.09797   11.39723
2009:20:20:45:46:629   501.71567   60593.09403   67.77098   -100.22490   10.07890
2009:20:20:45:46:660   489.54085   37728.41231   62.28943   -6.03988   11.74633
2009:20:20:45:46:879   510.21427   63399.92492   68.20325   -98.44621   10.47501
2009:20:20:45:46:910   506.76232   40303.80925   62.31625   -4.11911   11.81875
2009:20:20:45:47:129   519.53851   66818.42651   68.42243   -92.45320   10.73866
2009:20:20:45:47:160   507.82000   43326.87684   62.52982   -1.62086   11.84756
2009:20:20:45:47:379   520.23074   67381.28187   68.44215   -91.04607   11.34385
2009:20:20:45:47:410   521.20368   43959.15287   62.73661   -0.70697   12.08791
2009:20:20:45:47:629   545.95409   69778.48498   68.94901   -82.49981   11.48774
2009:20:20:45:47:660   588.65876   45358.91113   63.44534   1.72489   12.12891
2009:20:20:45:47:879   546.38385   70489.96039   69.47308   -75.48274   12.40873
