Time:                          Pressure(psi):
------------------------------------------------
2009:20:20:45:40:160     3252078.26978
2009:20:20:45:40:410     -12841.85581
2009:20:20:45:40:660     3368538.49685
2009:20:20:45:41:129     -13183.81354
2009:20:20:45:41:379     -13306.57932
2009:20:20:45:41:660     -13714.83266
2009:20:20:45:41:879     -13555.22645
2009:20:20:45:41:910     -13862.17185
2009:20:20:45:42:160     -13927.19569
2009:20:20:45:42:379     -13645.75041
2009:20:20:45:42:879     3598494.32705
2009:20:20:45:43:129     -14201.64242
2009:20:20:45:43:379     -14273.70432
